Brand Code, Brand Name, Chain Name
11598, VR_PM TALLINN CITY APARTMENTS OU, Independent
11114, Kozy Properti Manajemen Internasional, Independent
11359, VR_PM Altido Italy, Independent
11117, Polo's Hospitality, Independent
11238, 369° Hotels & Maisons, Independent
11116, Press Up Hotels, Independent
11237, Quinta da Pacheca Group, Independent
4232, 2.0 Hoteis, Independent
11560, Gregori Hotels Firenze, Independent
9481, eviivo Test (do not connect) EQCEviivo, Independent
11206, Smiletur, Independent
11208, The Hipstel, Independent
11441, VR_PM Airriva LLC, Independent
11564, AG Hotels Consulting, Independent
11201, SA Resorts, Independent
11200, Zero Box, Independent
11323, VR_PM Pembrokeshire Property Management Ltd, Independent
11565, Revenuehub, Independent
11447, VR_PM SICB Management, Independent
11205, To Islands Travel, Independent
4483, GrandiViaggi, Independent
11338, Martinello, Independent
11332, Les Etincelles, Independent
11335, VR_PM Vail Management Company, Independent
11337, Venice Resort Airport, Independent
11336, Bodega Hostels, Independent
11215, K/S Atlantic Hotel Kolding, Independent
11309, Pulse Resorts, Independent
11546, VR_PM LA MER HOMES, Independent
11545, VR_PM Ognartaeastan, Independent
11558, VR_PM Vilaman IKE, Independent
6435, Test Brand II, Independent
11432, OYO Rooms Latam MX BR, Independent
11310, Nobile Residencial, Independent
11313, Agorà Hotels, Independent
11312, QualPro, Independent
11315, Guest Pro Management, Independent
11081, Turismoymkt, Independent
11080, Ferrer Ibiza, Independent
11083, I-Ventum S.L., Independent
11082, VR_PM City Relay, Independent
11085, Hamilton Island Resorts Owner, Independent
11087, Hotelaria Brasil, Independent
11086, Stay Charlie, Independent
11405, VR_PM VHC Hospitality LLC, Independent
11526, Hotma Hotels, Independent
11404, VR_PM Cozystay Signature Vancouver Airport Management Ltd, Independent
11528, Aries Group, Independent
11406, VR_PM Limehome GmbH, Independent
11089, Monreale Hotels, Independent
11088, Fenix Hoteis, Independent
11401, Sanders Stay , Independent
11403, VR_PM Zodiak Management Ltd, Independent
11523, FAR, Independent
11092, The World Hotels Brazil, Independent
11091, Travel Inn Hoteis, Independent
11094, Hoteis Oasis, Independent
11093, VR_PM (MO) Freedom Vacation Rentals LLC, Independent
11096, Buenas Hoteis, Independent
11095, Etoile Hotels, Independent
11098, Satelite, Independent
11097, bookbnb, Independent
11090, Nomah Hoteis, Independent
11099, Uniclass Hoteis, Independent
11531, Latroupe, Independent
11653, Lamway, Independent
5, Adam's Mark, Adam's Mark
3646, Saltwater Properties, Saltwater Properties
5080, Raoum, Raoum
5081, ES-Flats, ES-Flats
3648, Dakota Hotels, Dakota Hotels
5082, Express Lodging Group, Express Lodging Group
3649, Bull Hotels, Bull Hotels
3650, Weavers Tourism & Marketing, Weavers Tourism & Marketing
5085, Arena, Arena
3652, Murwab Group, Murwab Group
5086, Holi-Rent, Holi-Rent
3653, La Siredrah, La Siredrah
5091, Can Calco Hotels, Can Calco Hotels
5105, Almeida Hotels, Almeida Hotels
3665, Vacances Bleues, Vacances Bleues
3666, Rentalmar, Rentalmar
5107, Blueline Benidorm, Blueline Benidorm
3667, Club Living, Club Living
5108, Intimate Hotels, Intimate Hotels
8185, eviivo EMEA, Eviivo
2327, Eviivo, Eviivo
5095, Getaway Merimbula, Getaway Merimbula
5096, Las Villas de Cue, Las Villas de Cue
3659, Be Live Canarias, Be Live Canarias
5100, Temmos, Temmos
3660, Grup Arbó, Grup Arb√≥
3661, GF Hoteles, GF Hoteles
5102, Hotelz Group, Hotelz Group
3662, Turismark Hotels, Turismark Hotels
3663, ResDest, ResDest
9763, Gem Hotels, Grange Hotels Group
2329, Grange Hotels Group, Grange Hotels Group
3664, Lanzarote Accommodations, Lanzarote Accommodations
3676, ZenRooms, ZenRooms
3677, Private Place Hotels & Resorts, Private Place Hotels & Resorts
3678, Pez Azul Group, Pez Azul Group
3668, Small Luxury Residence, Small Luxury Residence
5109, Illa Rentals, Illa Rentals
3671, Harbour Hotels, Harbour Hotels
5111, Madrid SmartRentals, Madrid SmartRentals
